date,platform,campaign,spend,clicks,impressions,cost_per_click,click_through_rate
2025-01-01,Google Ads,Brand,345.23,1165,4421,0.3,0.2635
2025-01-01,Meta Ads,Prospecting,427.97,842,7280,0.51,0.1157
2025-01-01,TikTok Ads,Retargeting,380.94,497,40293,0.77,0.0123
2025-01-02,Google Ads,Retargeting,319.52,948,26160,0.34,0.0362
2025-01-02,Meta Ads,Prospecting,401.68,1822,41646,0.22,0.0437
2025-01-02,TikTok Ads,Retargeting,68.61,1353,45287,0.05,0.0299
2025-01-03,Google Ads,Brand,237.96,692,39522,0.34,0.0175
2025-01-03,Meta Ads,Brand,71.84,45,40005,1.6,0.0011
2025-01-03,TikTok Ads,Retargeting,52.42,1636,13688,0.03,0.1195
2025-01-04,Google Ads,Retargeting,80.47,1062,17795,0.08,0.0597
2025-01-04,Meta Ads,Prospecting,222.08,1504,41688,0.15,0.0361
2025-01-04,TikTok Ads,Prospecting,109.24,301,3888,0.36,0.0774
2025-01-05,Google Ads,Brand,81.29,1217,29563,0.07,0.0412
2025-01-05,Meta Ads,Retargeting,480.68,1564,24445,0.31,0.064
2025-01-05,TikTok Ads,Prospecting,300.16,1128,10543,0.27,0.107
2025-01-06,Google Ads,Brand,245.37,1255,23472,0.2,0.0535
2025-01-06,Meta Ads,Prospecting,197.04,36,34926,5.47,0.001
2025-01-06,TikTok Ads,Retargeting,335.68,316,4756,1.06,0.0664
2025-01-07,Google Ads,Brand,263.41,1730,37664,0.15,0.0459
2025-01-07,Meta Ads,Brand,222.59,420,14131,0.53,0.0297
2025-01-07,TikTok Ads,Retargeting,456.08,1628,5482,0.28,0.297
2025-01-08,Google Ads,Prospecting,110.89,994,46533,0.11,0.0214
2025-01-08,Meta Ads,Retargeting,491.32,1248,46378,0.39,0.0269
2025-01-08,TikTok Ads,Prospecting,428.96,1179,22997,0.36,0.0513
2025-01-09,Google Ads,Retargeting,163.82,693,11635,0.24,0.0596
2025-01-09,Meta Ads,Brand,238.07,1636,3765,0.15,0.4345
2025-01-09,TikTok Ads,Prospecting,125.31,27,42862,4.64,0.0006
2025-01-10,Google Ads,Brand,352.75,975,41889,0.36,0.0233
2025-01-10,Meta Ads,Brand,134.73,1524,22726,0.09,0.0671
2025-01-10,TikTok Ads,Retargeting,200.44,839,13074,0.24,0.0642
2025-01-11,Google Ads,Brand,194.15,171,24454,1.14,0.007
2025-01-11,Meta Ads,Brand,286.25,311,20043,0.92,0.0155
2025-01-11,TikTok Ads,Prospecting,113.31,1219,24587,0.09,0.0496
2025-01-12,Google Ads,Brand,488.15,427,13964,1.14,0.0306
2025-01-12,Meta Ads,Prospecting,103.59,1833,18170,0.06,0.1009
