order_id,customer_id,product_id,order_date,channel,quantity,unit_price,status,gross_revenue
1,321,7,2025-06-15,eBay,4,112.57,completed,450.28
2,489,12,2025-04-28,Website,1,71.75,completed,71.75
3,244,14,2025-01-21,Amazon,5,86.37,refunded,431.85
4,387,1,2025-11-30,Offline Trade,5,58.46,completed,292.3
5,97,5,2025-10-27,Offline Trade,2,111.48,refunded,222.96
6,142,15,2025-08-29,eBay,1,64.05,refunded,64.05
7,358,3,2025-06-14,Website,3,87.18,completed,261.54
8,319,3,2025-07-30,Offline Trade,3,87.18,completed,261.54
9,232,15,2025-10-09,Website,4,64.05,refunded,256.2
10,354,15,2025-06-11,eBay,1,64.05,completed,64.05
11,71,8,2025-07-26,Website,1,68.99,cancelled,68.99
12,454,6,2025-07-31,Website,4,78.01,completed,312.04
13,146,2,2025-07-05,Offline Trade,5,40.62,refunded,203.1
14,369,2,2025-04-15,eBay,1,40.62,cancelled,40.62
15,336,4,2025-05-28,Offline Trade,2,58.85,refunded,117.7
16,141,1,2025-01-15,Amazon,1,58.46,completed,58.46
17,435,9,2025-10-10,Website,3,109.74,cancelled,329.22
18,499,12,2025-02-17,Amazon,4,71.75,completed,287.0
19,274,3,2025-03-02,Amazon,4,87.18,refunded,348.72
20,104,15,2025-09-18,eBay,3,64.05,refunded,192.15
21,448,12,2025-08-30,Amazon,4,71.75,refunded,287.0
22,160,1,2025-03-16,Offline Trade,5,58.46,completed,292.3
23,274,6,2025-09-18,Amazon,5,78.01,completed,390.05
24,450,16,2025-08-01,eBay,3,17.01,cancelled,51.03
25,247,13,2025-01-02,eBay,3,21.93,completed,65.79
26,82,6,2025-10-24,Offline Trade,5,78.01,completed,390.05
27,183,4,2025-10-03,Offline Trade,4,58.85,completed,235.4
28,12,5,2025-10-10,Offline Trade,3,111.48,refunded,334.44
29,273,2,2025-04-07,Amazon,3,40.62,cancelled,121.86
30,351,15,2025-04-30,Offline Trade,4,64.05,completed,256.2
31,318,9,2025-08-31,Offline Trade,3,109.74,refunded,329.22
32,472,16,2025-09-11,Website,2,17.01,completed,34.02
33,317,10,2025-10-30,eBay,5,16.0,completed,80.0
34,165,5,2025-02-21,Offline Trade,4,111.48,completed,445.92
35,98,5,2025-07-29,Amazon,2,111.48,completed,222.96
36,263,3,2025-05-16,eBay,4,87.18,cancelled,348.72
37,316,6,2025-11-29,Website,4,78.01,completed,312.04
38,293,3,2025-07-14,eBay,5,87.18,refunded,435.9
39,6,11,2025-01-19,Website,5,42.45,completed,212.25
40,348,16,2025-04-27,Website,3,17.01,refunded,51.03
41,411,15,2025-11-21,Website,1,64.05,refunded,64.05
42,167,3,2025-12-22,eBay,2,87.18,completed,174.36
43,242,11,2025-06-16,Website,1,42.45,completed,42.45
44,263,13,2025-07-11,Offline Trade,3,21.93,completed,65.79
45,12,8,2025-09-29,Offline Trade,2,68.99,cancelled,137.98
46,469,5,2025-03-29,Amazon,2,111.48,completed,222.96
47,187,10,2025-07-15,Amazon,5,16.0,refunded,80.0
48,243,2,2025-03-15,Amazon,5,40.62,refunded,203.1
49,499,14,2025-08-24,eBay,3,86.37,completed,259.11
50,453,15,2025-05-28,Amazon,4,64.05,completed,256.2
51,319,1,2025-06-26,eBay,4,58.46,refunded,233.84
52,76,5,2025-08-22,eBay,3,111.48,completed,334.44
53,450,15,2025-09-05,Website,4,64.05,completed,256.2
54,484,10,2025-10-20,eBay,4,16.0,cancelled,64.0
55,183,2,2025-12-25,eBay,3,40.62,completed,121.86
56,287,11,2025-05-21,Website,4,42.45,cancelled,169.8
57,335,16,2025-11-07,Offline Trade,1,17.01,completed,17.01
58,115,16,2025-11-07,eBay,2,17.01,completed,34.02
59,60,5,2025-11-14,eBay,2,111.48,completed,222.96
60,215,10,2025-11-18,Website,1,16.0,completed,16.0
61,280,15,2025-01-18,eBay,4,64.05,completed,256.2
62,103,5,2025-06-01,eBay,1,111.48,refunded,111.48
63,208,2,2025-04-13,Amazon,2,40.62,cancelled,81.24
64,150,8,2025-09-29,eBay,3,68.99,completed,206.97
65,342,4,2025-09-04,eBay,3,58.85,completed,176.55
66,317,13,2025-08-28,Website,1,21.93,completed,21.93
67,173,15,2025-12-13,Offline Trade,2,64.05,cancelled,128.1
68,103,1,2025-02-16,Offline Trade,3,58.46,completed,175.38
69,198,10,2025-10-02,Website,3,16.0,refunded,48.0
70,363,7,2025-12-11,eBay,3,112.57,cancelled,337.71
