date,platform,campaign,spend,clicks,impressions
2025-01-01,Google Ads,Brand,345.23,1165,4421
2025-01-01,Meta Ads,Prospecting,427.97,842,7280
2025-01-01,TikTok Ads,Retargeting,380.94,497,40293
2025-01-02,Google Ads,Retargeting,319.52,948,26160
2025-01-02,Meta Ads,Prospecting,401.68,1822,41646
2025-01-02,TikTok Ads,Retargeting,68.61,1353,45287
2025-01-03,Google Ads,Brand,237.96,692,39522
2025-01-03,Meta Ads,Brand,71.84,45,40005
2025-01-03,TikTok Ads,Retargeting,52.42,1636,13688
2025-01-04,Google Ads,Retargeting,80.47,1062,17795
2025-01-04,Meta Ads,Prospecting,222.08,1504,41688
2025-01-04,TikTok Ads,Prospecting,109.24,301,3888
2025-01-05,Google Ads,Brand,81.29,1217,29563
2025-01-05,Meta Ads,Retargeting,480.68,1564,24445
2025-01-05,TikTok Ads,Prospecting,300.16,1128,10543
2025-01-06,Google Ads,Brand,245.37,1255,23472
2025-01-06,Meta Ads,Prospecting,197.04,36,34926
2025-01-06,TikTok Ads,Retargeting,335.68,316,4756
2025-01-07,Google Ads,Brand,263.41,1730,37664
2025-01-07,Meta Ads,Brand,222.59,420,14131
2025-01-07,TikTok Ads,Retargeting,456.08,1628,5482
2025-01-08,Google Ads,Prospecting,110.89,994,46533
2025-01-08,Meta Ads,Retargeting,491.32,1248,46378
2025-01-08,TikTok Ads,Prospecting,428.96,1179,22997
2025-01-09,Google Ads,Retargeting,163.82,693,11635
2025-01-09,Meta Ads,Brand,238.07,1636,3765
2025-01-09,TikTok Ads,Prospecting,125.31,27,42862
2025-01-10,Google Ads,Brand,352.75,975,41889
2025-01-10,Meta Ads,Brand,134.73,1524,22726
2025-01-10,TikTok Ads,Retargeting,200.44,839,13074
2025-01-11,Google Ads,Brand,194.15,171,24454
2025-01-11,Meta Ads,Brand,286.25,311,20043
2025-01-11,TikTok Ads,Prospecting,113.31,1219,24587
2025-01-12,Google Ads,Brand,488.15,427,13964
2025-01-12,Meta Ads,Prospecting,103.59,1833,18170
2025-01-12,TikTok Ads,Retargeting,103.66,1755,37340
2025-01-13,Google Ads,Brand,105.7,64,12539
2025-01-13,Meta Ads,Prospecting,457.11,62,45397
2025-01-13,TikTok Ads,Brand,201.88,1632,8272
2025-01-14,Google Ads,Prospecting,469.33,644,30897
2025-01-14,Meta Ads,Brand,197.43,782,44313
2025-01-14,TikTok Ads,Brand,471.76,1656,41842
2025-01-15,Google Ads,Prospecting,441.63,153,8765
2025-01-15,Meta Ads,Brand,443.71,287,13428
2025-01-15,TikTok Ads,Brand,275.63,1442,25527
2025-01-16,Google Ads,Prospecting,307.78,1322,17026
2025-01-16,Meta Ads,Brand,386.28,1222,13392
