order_id,customer_id,product_id,order_date,channel,quantity,unit_price,status
1,321,7,2025-06-15,eBay,4,112.57,completed
2,489,12,2025-04-28,Website,1,71.75,completed
3,244,14,2025-01-21,Amazon,5,86.37,refunded
4,387,1,2025-11-30,Offline Trade,5,58.46,completed
5,97,5,2025-10-27,Offline Trade,2,111.48,refunded
6,142,15,2025-08-29,eBay,1,64.05,refunded
7,358,3,2025-06-14,Website,3,87.18,completed
8,319,3,2025-07-30,Offline Trade,3,87.18,completed
9,232,15,2025-10-09,Website,4,64.05,refunded
10,354,15,2025-06-11,eBay,1,64.05,completed
11,71,8,2025-07-26,Website,1,68.99,cancelled
12,454,6,2025-07-31,Website,4,78.01,completed
13,146,2,2025-07-05,Offline Trade,5,40.62,refunded
14,369,2,2025-04-15,eBay,1,40.62,cancelled
15,336,4,2025-05-28,Offline Trade,2,58.85,refunded
16,141,1,2025-01-15,Amazon,1,58.46,completed
17,435,9,2025-10-10,Website,3,109.74,cancelled
18,499,12,2025-02-17,Amazon,4,71.75,completed
19,274,3,2025-03-02,Amazon,4,87.18,refunded
20,104,15,2025-09-18,eBay,3,64.05,refunded
21,448,12,2025-08-30,Amazon,4,71.75,refunded
22,160,1,2025-03-16,Offline Trade,5,58.46,completed
23,274,6,2025-09-18,Amazon,5,78.01,completed
24,450,16,2025-08-01,eBay,3,17.01,cancelled
25,247,13,2025-01-02,eBay,3,21.93,completed
26,82,6,2025-10-24,Offline Trade,5,78.01,completed
27,183,4,2025-10-03,Offline Trade,4,58.85,completed
28,12,5,2025-10-10,Offline Trade,3,111.48,refunded
29,273,2,2025-04-07,Amazon,3,40.62,cancelled
30,351,15,2025-04-30,Offline Trade,4,64.05,completed
31,318,9,2025-08-31,Offline Trade,3,109.74,refunded
32,472,16,2025-09-11,Website,2,17.01,completed
33,317,10,2025-10-30,eBay,5,16.0,completed
34,165,5,2025-02-21,Offline Trade,4,111.48,completed
35,98,5,2025-07-29,Amazon,2,111.48,completed
36,263,3,2025-05-16,eBay,4,87.18,cancelled
37,316,6,2025-11-29,Website,4,78.01,completed
38,293,3,2025-07-14,eBay,5,87.18,refunded
39,6,11,2025-01-19,Website,5,42.45,completed
40,348,16,2025-04-27,Website,3,17.01,refunded
41,411,15,2025-11-21,Website,1,64.05,refunded
42,167,3,2025-12-22,eBay,2,87.18,completed
43,242,11,2025-06-16,Website,1,42.45,completed
44,263,13,2025-07-11,Offline Trade,3,21.93,completed
45,12,8,2025-09-29,Offline Trade,2,68.99,cancelled
46,469,5,2025-03-29,Amazon,2,111.48,completed
47,187,10,2025-07-15,Amazon,5,16.0,refunded
48,243,2,2025-03-15,Amazon,5,40.62,refunded
49,499,14,2025-08-24,eBay,3,86.37,completed
50,453,15,2025-05-28,Amazon,4,64.05,completed
51,319,1,2025-06-26,eBay,4,58.46,refunded
52,76,5,2025-08-22,eBay,3,111.48,completed
53,450,15,2025-09-05,Website,4,64.05,completed
54,484,10,2025-10-20,eBay,4,16.0,cancelled
55,183,2,2025-12-25,eBay,3,40.62,completed
56,287,11,2025-05-21,Website,4,42.45,cancelled
57,335,16,2025-11-07,Offline Trade,1,17.01,completed
58,115,16,2025-11-07,eBay,2,17.01,completed
59,60,5,2025-11-14,eBay,2,111.48,completed
60,215,10,2025-11-18,Website,1,16.0,completed
61,280,15,2025-01-18,eBay,4,64.05,completed
62,103,5,2025-06-01,eBay,1,111.48,refunded
63,208,2,2025-04-13,Amazon,2,40.62,cancelled
64,150,8,2025-09-29,eBay,3,68.99,completed
65,342,4,2025-09-04,eBay,3,58.85,completed
66,317,13,2025-08-28,Website,1,21.93,completed
67,173,15,2025-12-13,Offline Trade,2,64.05,cancelled
68,103,1,2025-02-16,Offline Trade,3,58.46,completed
69,198,10,2025-10-02,Website,3,16.0,refunded
70,363,7,2025-12-11,eBay,3,112.57,cancelled
71,28,7,2025-11-23,eBay,4,112.57,completed
72,148,1,2025-08-30,Website,2,58.46,cancelled
73,329,16,2025-06-17,Amazon,5,17.01,completed
74,203,15,2025-12-25,eBay,4,64.05,refunded
75,230,5,2025-03-13,Website,1,111.48,completed
76,326,1,2025-09-10,Website,3,58.46,completed
77,97,13,2025-10-03,Amazon,2,21.93,refunded
78,455,9,2025-07-09,Offline Trade,4,109.74,cancelled
79,468,6,2025-08-01,Website,2,78.01,refunded
80,229,16,2025-07-28,eBay,5,17.01,completed
81,325,1,2025-04-22,Offline Trade,3,58.46,refunded
82,385,9,2025-07-05,Website,2,109.74,completed
83,62,10,2025-11-27,eBay,5,16.0,completed
84,168,12,2025-05-22,Amazon,4,71.75,completed
85,131,2,2025-02-16,Amazon,4,40.62,cancelled
86,219,6,2025-01-26,eBay,1,78.01,completed
87,334,16,2025-10-17,Amazon,2,17.01,completed
88,79,13,2025-04-17,Amazon,5,21.93,completed
89,100,5,2025-03-17,Website,3,111.48,completed
90,46,12,2025-03-08,eBay,2,71.75,completed
91,191,16,2025-12-05,Website,1,17.01,completed
92,368,10,2025-07-03,Amazon,1,16.0,cancelled
93,160,4,2025-01-09,Amazon,3,58.85,completed
94,325,12,2025-03-06,Offline Trade,1,71.75,cancelled
95,337,6,2025-02-02,Offline Trade,1,78.01,refunded
96,66,11,2025-09-20,Website,3,42.45,refunded
97,370,12,2025-04-24,Website,5,71.75,cancelled
98,383,13,2025-08-23,Website,3,21.93,completed
99,82,5,2025-07-25,Offline Trade,4,111.48,completed
100,206,16,2025-12-31,Offline Trade,4,17.01,completed
101,349,11,2025-06-14,Amazon,1,42.45,completed
102,309,2,2025-05-21,eBay,2,40.62,refunded
103,200,8,2025-09-29,eBay,5,68.99,refunded
104,209,6,2025-11-06,Offline Trade,5,78.01,completed
105,232,12,2025-12-02,Amazon,1,71.75,refunded
106,184,2,2025-04-27,Offline Trade,4,40.62,completed
107,110,4,2025-07-24,Offline Trade,4,58.85,completed
108,284,13,2025-08-07,eBay,3,21.93,completed
109,213,12,2025-03-20,Offline Trade,3,71.75,completed
110,283,8,2025-02-13,Website,1,68.99,refunded
111,345,16,2025-07-10,Amazon,1,17.01,cancelled
112,189,7,2025-10-28,eBay,1,112.57,completed
113,458,10,2025-07-01,Offline Trade,4,16.0,completed
114,99,10,2025-11-04,eBay,3,16.0,completed
115,301,16,2025-10-23,Amazon,1,17.01,completed
116,362,13,2025-04-25,Website,4,21.93,completed
117,345,16,2025-07-08,Website,5,17.01,completed
118,224,10,2025-04-26,Offline Trade,5,16.0,cancelled
119,28,10,2025-11-11,Website,5,16.0,cancelled
120,102,4,2025-01-15,Amazon,3,58.85,completed
121,58,10,2025-06-23,eBay,3,16.0,completed
122,373,8,2025-03-15,Offline Trade,2,68.99,completed
123,266,5,2025-11-21,Website,2,111.48,completed
124,229,10,2025-04-21,Offline Trade,5,16.0,refunded
125,330,15,2025-06-24,Amazon,4,64.05,completed
126,174,2,2025-06-16,Website,3,40.62,completed
127,172,12,2025-03-22,Website,2,71.75,completed
