refund_id,order_id,refund_date,refund_reason
1,3,2025-01-27,Damaged
2,5,2025-11-10,Changed Mind
3,6,2025-09-18,Wrong Item
4,9,2025-10-30,Late Delivery
5,13,2025-07-26,Changed Mind
6,15,2025-06-13,Late Delivery
7,19,2025-03-31,Changed Mind
8,20,2025-10-15,Late Delivery
9,21,2025-09-28,Changed Mind
10,28,2025-11-01,Wrong Item
11,31,2025-09-16,Wrong Item
12,38,2025-08-03,Changed Mind
13,40,2025-05-15,Wrong Item
14,41,2025-12-01,Damaged
15,47,2025-07-23,Damaged
16,48,2025-04-13,Changed Mind
17,51,2025-07-10,Wrong Item
18,62,2025-06-12,Late Delivery
19,69,2025-10-24,Wrong Item
20,74,2025-12-29,Late Delivery
21,77,2025-10-18,Changed Mind
22,79,2025-08-23,Damaged
23,81,2025-05-04,Wrong Item
24,95,2025-02-25,Late Delivery
25,96,2025-10-15,Wrong Item
26,102,2025-06-17,Wrong Item
27,103,2025-10-19,Wrong Item
28,105,2025-12-24,Late Delivery
29,110,2025-02-14,Changed Mind
30,124,2025-04-30,Late Delivery
31,128,2025-09-13,Wrong Item
32,141,2025-10-23,Changed Mind
33,155,2025-02-13,Changed Mind
34,157,2025-02-21,Wrong Item
35,160,2025-10-13,Wrong Item
36,161,2025-10-25,Wrong Item
37,166,2026-01-07,Damaged
38,168,2025-06-03,Wrong Item
39,173,2025-07-23,Late Delivery
40,178,2025-05-01,Damaged
41,183,2025-04-13,Wrong Item
42,185,2025-11-23,Late Delivery
43,188,2025-09-13,Late Delivery
44,193,2025-04-11,Late Delivery
45,200,2025-02-14,Damaged
46,201,2026-01-17,Changed Mind
47,207,2025-02-07,Damaged
48,213,2025-10-11,Damaged
49,218,2025-07-19,Wrong Item
50,225,2025-03-08,Changed Mind
51,228,2025-06-16,Changed Mind
52,242,2025-10-24,Damaged
53,244,2025-02-04,Damaged
54,248,2025-03-28,Late Delivery
55,253,2025-03-25,Late Delivery
56,254,2025-07-10,Wrong Item
57,258,2025-12-23,Late Delivery
58,271,2025-11-23,Late Delivery
59,272,2025-06-28,Changed Mind
60,275,2025-08-12,Wrong Item
61,284,2025-09-28,Late Delivery
62,291,2025-07-08,Damaged
63,293,2025-06-25,Damaged
64,299,2025-04-06,Damaged
65,306,2025-12-28,Wrong Item
66,312,2025-09-09,Wrong Item
67,313,2025-08-02,Late Delivery
68,317,2025-06-20,Changed Mind
69,321,2025-05-29,Late Delivery
70,333,2025-04-12,Late Delivery
71,337,2025-04-03,Changed Mind
72,342,2025-07-13,Damaged
73,345,2025-12-21,Wrong Item
74,346,2025-07-08,Wrong Item
75,347,2025-04-10,Changed Mind
76,355,2025-09-30,Damaged
77,372,2025-07-14,Damaged
78,378,2025-05-15,Wrong Item
79,382,2025-11-02,Damaged
80,388,2025-04-08,Late Delivery
81,391,2025-01-29,Wrong Item
82,392,2025-06-20,Changed Mind
83,395,2026-01-24,Changed Mind
84,396,2025-10-29,Damaged
85,397,2025-10-09,Changed Mind
86,402,2025-11-12,Late Delivery
87,404,2025-04-12,Changed Mind
88,405,2026-01-13,Wrong Item
89,408,2025-07-17,Changed Mind
90,414,2025-11-02,Damaged
91,416,2025-12-03,Wrong Item
92,423,2025-12-01,Changed Mind
